function,taylor
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
2*x + 3*cos(x),x**4/8 - 3*x**2/2 + 2*x + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
x**3 + 1,x**3 + 1
-x + 25*sin(x),x*(144 - 25*x**2)/6
x*(1 - x),x*(1 - x)
5 - x,5 - x
2*x,2*x
4*exp(x) - sin(x),x**4/6 + 5*x**3/6 + 2*x**2 + 3*x + 4
-3,-3
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
-3,-3
x + 2*sin(x) + 5,-x**3/3 + 3*x + 5
x + 2,x + 2
-x + 6*sin(x),x*(5 - x**2)
x**2*exp(2*x),x**2*(2*x**2 + 2*x + 1)
x + sin(x),x*(12 - x**2)/6
1 - x,1 - x
0,0
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
10*x,10*x
x + 3,x + 3
2*x - sin(x),x**3/6 + x
2,2
x + sin(x) - 3,-x**3/6 + 2*x - 3
x + 4,x + 4
x**2*sin(x),x**3
x*sin(x),-x**4/6 + x**2
x - 5,x - 5
2*x - cos(x) - 3,-x**4/24 + x**2/2 + 2*x - 4
x**3,x**3
x*exp(x) + 5,x**4/6 + x**3/2 + x**2 + x + 5
1 - sin(x),x**3/6 - x + 1
9,9
5*sin(x),5*x*(6 - x**2)/6
-x*cos(x) - exp(x) + 2,-x**4/24 + x**3/3 - x**2/2 - 2*x + 1
-x + exp(x) + 4*cos(x),5*x**4/24 + x**3/6 - 3*x**2/2 + 5
3*x*cos(x) - sin(x),-4*x**3/3 + 2*x
x + 5,x + 5
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
x + exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 48)/24
2*x + sin(x) - 2,-x**3/6 + 3*x - 2
x**2,x**2
x*exp(2*x) - 3,4*x**4/3 + 2*x**3 + 2*x**2 + x - 3
-exp(x) + sqrt(2)*sin(x + pi/4),x**2*(-x - 3)/3
3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
x + sin(x) - 5*cos(x),-5*x**4/24 - x**3/6 + 5*x**2/2 + 2*x - 5
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
x*sin(x) + exp(x) + 3,-x**4/8 + x**3/6 + 3*x**2/2 + x + 4
exp(x) + cos(x) + 4,x**4/12 + x**3/6 + x + 6
x + 8,x + 8
x + cos(x),x**4/24 - x**2/2 + x + 1
x**2 - x + cos(x),x**4/24 + x**2/2 - x + 1
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
5*x,5*x
2*x - 5,2*x - 5
x**3,x**3
2 - x,2 - x
x*(x + 1),x*(x + 1)
2*sin(x),x*(6 - x**2)/3
0,0
-4,-4
1,1
x - sin(x),x**3/6
x + 3,x + 3
6 - x,6 - x
5 - sin(x),x**3/6 - x + 5
4 - x**2,4 - x**2
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
-cos(x) - 5,-x**4/24 + x**2/2 - 6
5*x,5*x
x*sin(x),-x**4/6 + x**2
3*x + 2,3*x + 2
2*sin(2*x),-8*x**3/3 + 4*x
x - cos(x) + 4,-x**4/24 + x**2/2 + x + 3
0,0
cos(x),x**4/24 - x**2/2 + 1
x - sin(x) - 5,x**3/6 - 5
x**2 + 5,x**2 + 5
5,5
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
x*(1 - 2*cos(x)),x**3 - x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2*x + 7,2*x + 7
x*exp(x) + exp(x) + 2,5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 2*x + 3
x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 2*x + 6
-3*x,-3*x
-2*x + sin(x),-x**3/6 - x
x - 5*exp(x) + sin(x),-5*x**4/24 - x**3 - 5*x**2/2 - 3*x - 5
2 - 2*x,2 - 2*x
x + cos(x),x**4/24 - x**2/2 + x + 1
3*sin(x) + cos(x),x**4/24 - x**3/2 - x**2/2 + 3*x + 1
5*exp(x) + 4,5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 9
x + sin(x) - 4,-x**3/6 + 2*x - 4
-x + exp(x) + 8,x**4/24 + x**3/6 + x**2/2 + 9
-sin(x)**2,x**4/3 - x**2
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
2*x**2,2*x**2
x + sin(x) + 3,-x**3/6 + 2*x + 3
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
(sin(x) - 1)*cos(x),-x**4/24 - 2*x**3/3 + x**2/2 + x - 1
(x + 1)*cos(x),x**4/24 - x**3/2 - x**2/2 + x + 1
x*exp(x)*cos(x),x*(-x**3/3 + x + 1)
-x**2 + sin(x),x*(-x**2/6 - x + 1)
x + cos(x),x**4/24 - x**2/2 + x + 1
x + sin(x)**2,x*(-x**3/3 + x + 1)
-x*exp(x) + x + exp(x),-x**4/8 - x**3/3 - x**2/2 + x + 1
4,4
x - sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 + 1
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
sin(2*x)/2,-2*x**3/3 + x
2*cos(x),x**4/12 - x**2 + 2
x + 6,x + 6
5*x,5*x
3*sin(x),x*(6 - x**2)/2
-5*exp(x) + sin(x) + 5,x*(-5*x**3 - 24*x**2 - 60*x - 96)/24
x - 2,x - 2
0,0
-15*exp(x),-5*x**4/8 - 5*x**3/2 - 15*x**2/2 - 15*x - 15
x**2 - exp(x),-x**4/24 - x**3/6 + x**2/2 - x - 1
3*x + sqrt(2)*cos(x + pi/4),x**4/24 + x**3/6 - x**2/2 + 2*x + 1
9 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 8
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-x*sin(x) + sin(x) - 2,x**4/6 - x**3/6 - x**2 + x - 2
0,0
3*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + 2*x - 1
2,2
cos(x) + 2,x**4/24 - x**2/2 + 3
4 - cos(x),-x**4/24 + x**2/2 + 3
(1 - cos(x))*sin(x),x**3/2
6*x - sin(x),x*(x**2 + 30)/6
x + 4,x + 4
x - exp(x)*cos(x) + cos(x),x**2*(5*x**2 + 8*x - 12)/24
4*x**2 + 2,4*x**2 + 2
cos(x) + 2,x**4/24 - x**2/2 + 3
x,x
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
2*x,2*x
4*exp(x) + cos(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 4*x + 5
4 - cos(x),-x**4/24 + x**2/2 + 3
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
3*exp(x) - sin(x),x**4/8 + 2*x**3/3 + 3*x**2/2 + 2*x + 3
x - sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
4 - x,4 - x
4*x + sin(x) - 3,-x**3/6 + 5*x - 3
2*x - 3,2*x - 3
x - 5,x - 5
x + cos(x),x**4/24 - x**2/2 + x + 1
x*cos(x) + x + cos(x),x**4/24 - x**3/2 - x**2/2 + 2*x + 1
x + exp(x) + cos(x),x**4/12 + x**3/6 + 2*x + 2
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
1,1
x**2 + 1,x**2 + 1
4*exp(2*x),8*x**4/3 + 16*x**3/3 + 8*x**2 + 8*x + 4
-5,-5
-3*x + sin(x),x*(-x**2 - 12)/6
-x + sin(x) + 1,1 - x**3/6
cos(x) - 5,x**4/24 - x**2/2 - 4
24,24
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x - 3,x - 3
5*x,5*x
-x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 1
(1 - x)*sin(x),x*(x**3 - x**2 - 6*x + 6)/6
-exp(x)*sin(x) + 5*cos(x),5*x**4/24 - x**3/3 - 7*x**2/2 - x + 5
sin(x) - 4,-x**3/6 + x - 4
sin(x) - 2,-x**3/6 + x - 2
-x - sin(x) - 3,x**3/6 - 2*x - 3
sin(x),-x**3/6 + x
x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 3*x + 2
x*exp(2*x) - 5,4*x**4/3 + 2*x**3 + 2*x**2 + x - 5
x - cos(x) - 2,-x**4/24 + x**2/2 + x - 3
exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + x - 4
(1 - x)*sin(x),x*(x**3 - x**2 - 6*x + 6)/6
-x + sin(x) - 5,-x**3/6 - 5
3 - x,3 - x
6,6
x - sin(x) + 3,x**3/6 + 3
-x + sin(x) + 8,8 - x**3/6
sin(x) - 4,-x**3/6 + x - 4
x + sin(x),x*(12 - x**2)/6
25,25
-x*cos(x) + x - 5,x**3/2 - 5
3*x + sin(x),x*(24 - x**2)/6
2 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 1
2*cos(x),x**4/12 - x**2 + 2
5*x,5*x
x**2 + 2,x**2 + 2
5 - sin(x),x**3/6 - x + 5
2,2
-sqrt(2)*x*cos(x + pi/4),x*(-x**3/6 + x**2/2 + x - 1)
3*x + 3,3*x + 3
2*x + 4,2*x + 4
sin(2*x)/2,-2*x**3/3 + x
exp(x)*sin(x),x*(x**2/3 + x + 1)
1 - sin(x),x**3/6 - x + 1
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
x - exp(x) + sin(x) - 1,-x**4/24 - x**3/3 - x**2/2 + x - 2
5,5
2 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 1
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x - 5,x - 5
x + 3,x + 3
x*cos(x) - sqrt(2)*cos(x + pi/4),-x**4/24 - 2*x**3/3 + x**2/2 + 2*x - 1
4*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 5*x + 1
x*exp(x) - x + 5,x**4/6 + x**3/2 + x**2 + 5
-exp(x) - cos(x) + 2,-x**4/12 - x**3/6 - x
sin(x) + 4,-x**3/6 + x + 4
x**2,x**2
2*x + 3,2*x + 3
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
2*x + 3,2*x + 3
-sin(x) + cos(x) + 5,x**4/24 + x**3/6 - x**2/2 - x + 6
0,0
0,0
sin(x) + cos(x) + 4,x**4/24 - x**3/6 - x**2/2 + x + 5
sin(x)**2,-x**4/3 + x**2
x*cos(x) + 2,-x**3/2 + x + 2
6*x,6*x
-sin(x),x**3/6 - x
3*cos(x),x**4/8 - 3*x**2/2 + 3
-x - sin(2*x)/2 + 1,2*x**3/3 - 2*x + 1
x*cos(x) + 1,-x**3/2 + x + 1
sin(x) + 4,-x**3/6 + x + 4
2*x + 6,2*x + 6
2*x,2*x
2*x + exp(x) + sin(x),x**4/24 + x**2/2 + 4*x + 1
5*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 6*x + 1
-x + cos(x) + 5,x**4/24 - x**2/2 - x + 6
x + 3,x + 3
-x*exp(x) + 1,-x**4/6 - x**3/2 - x**2 - x + 1
-x - exp(x) + sin(x) + 5,-x**4/24 - x**3/3 - x**2/2 - x + 4
(x - 1)*sin(x),x*(-x**3 + x**2 + 6*x - 6)/6
-4*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 3*x + 1
0,0
-cos(x),-x**4/24 + x**2/2 - 1
x*exp(x)*cos(x) - 2,-x**4/3 + x**2 + x - 2
sin(x),-x**3/6 + x
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
-x + 2*exp(x) + sin(x),x**4/12 + x**3/6 + x**2 + 2*x + 2
5*x + 2,5*x + 2
x - 4*exp(x),-x**4/6 - 2*x**3/3 - 2*x**2 - 3*x - 4
sin(x)**2 + 4,-x**4/3 + x**2 + 4
-3*x,-3*x
-4*x,-4*x
5*x*exp(x),5*x*(x**3 + 3*x**2 + 6*x + 6)/6
0,0
4*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 5*x + 1
cos(x) - 1,x**2*(x**2 - 12)/24
-4*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 3*x + 1
2*x**2*sin(x),2*x**3
x**2,x**2
x*exp(x) + 2,x**4/6 + x**3/2 + x**2 + x + 2
x,x
4,4
2*cos(x),x**4/12 - x**2 + 2
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
x*cos(x),-x**3/2 + x
x - exp(x) - 4,-x**4/24 - x**3/6 - x**2/2 - 5
(-x*sin(x) + 1)*exp(x),-7*x**4/24 - 5*x**3/6 - x**2/2 + x + 1
(1 - cos(x))*exp(x),x**2*(5*x**2 + 12*x + 12)/24
0,0
2*x,2*x
-x*exp(x) + 5,-x**4/6 - x**3/2 - x**2 - x + 5
x + sin(x)**2 + sin(x),x*(-2*x**3 - x**2 + 6*x + 12)/6
x*exp(x) + x + 1,x**4/6 + x**3/2 + x**2 + 2*x + 1
3*x + 3,3*x + 3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x**2,x**2
x + cos(x) - 2,x**4/24 - x**2/2 + x - 1
4*x - cos(x) + 5,-x**4/24 + x**2/2 + 4*x + 4
x + cos(x),x**4/24 - x**2/2 + x + 1
-x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 2*x - 1
x*cos(x) - sin(x) - 3,-x**3/3 - 3
x**2,x**2
-x + 2*exp(x),x**4/12 + x**3/3 + x**2 + x + 2
sin(x) - 5,-x**3/6 + x - 5
2 - cos(x),-x**4/24 + x**2/2 + 1
0,0
x*sin(x) + sin(x) + 1,-x**4/6 - x**3/6 + x**2 + x + 1
2*x + 5,2*x + 5
exp(x)*cos(x) + 3,-x**4/6 - x**3/3 + x + 4
x + 2,x + 2
x,x
-x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 1
-x + 3*sin(x) + cos(x),x**4/24 - x**3/2 - x**2/2 + 2*x + 1
x*exp(x) + sin(x) + 1,x**4/6 + x**3/3 + x**2 + 2*x + 1
4 - 3*exp(2*x),-2*x**4 - 4*x**3 - 6*x**2 - 6*x + 1
1,1
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
x**2 + exp(x) - 2,x**4/24 + x**3/6 + 3*x**2/2 + x - 1
x + 9,x + 9
x*(1 - sin(x)),x*(x**3/6 - x + 1)
x*exp(x) + exp(x) - sin(x),5*x**4/24 + 5*x**3/6 + 3*x**2/2 + x + 1
x + 4,x + 4
x + 1,x + 1
x*sin(x) - 5,-x**4/6 + x**2 - 5
x**2 + x - exp(x),-x**4/24 - x**3/6 + x**2/2 - 1
-x + sqrt(2)*cos(x + pi/4) + 3,x**4/24 + x**3/6 - x**2/2 - 2*x + 4
2*sin(2*x),-8*x**3/3 + 4*x
2 - cos(x),-x**4/24 + x**2/2 + 1
x**3 + cos(x),x**4/24 + x**3 - x**2/2 + 1
x**2 - cos(x),-x**4/24 + 3*x**2/2 - 1
-sin(x),x**3/6 - x
x + exp(x)*cos(x) + cos(x),-x**4/8 - x**3/3 - x**2/2 + 2*x + 2
5*x + sin(x) - 1,-x**3/6 + 6*x - 1
5*sin(x) + 4*cos(x),x**4/6 - 5*x**3/6 - 2*x**2 + 5*x + 4
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x*(x + 1),x*(x + 1)
x*cos(x) - 8,-x**3/2 + x - 8
exp(x) + sqrt(2)*sin(x + pi/4),x**4/12 + 2*x + 2
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
x - 1,x - 1
2*x - 1,2*x - 1
x + cos(x) - 1,x*(x**3 - 12*x + 24)/24
5*sin(2*x)/2,-10*x**3/3 + 5*x
3*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/2
10,10
x + cos(x) + 5,x**4/24 - x**2/2 + x + 6
-x*sin(x) + 3,x**4/6 - x**2 + 3
(x - 1)*exp(x),x**4/8 + x**3/3 + x**2/2 - 1
x + exp(x)*cos(x) + sin(x),-x**4/6 - x**3/2 + 3*x + 1
2*x + 1,2*x + 1
x - 3,x - 3
x*(exp(x) + 5),x*(x**3 + 3*x**2 + 6*x + 36)/6
sin(x) - 4*cos(x) + 4,x*(-x**3 - x**2 + 12*x + 6)/6
0,0
2*exp(x) + 5,x**4/12 + x**3/3 + x**2 + 2*x + 7
x*cos(x) + exp(x) + 4,x**4/24 - x**3/3 + x**2/2 + 2*x + 5
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-x + cos(x),x**4/24 - x**2/2 - x + 1
cos(x) + 4,x**4/24 - x**2/2 + 5
cos(x) + 4,x**4/24 - x**2/2 + 5
x**2,x**2
sin(x) - cos(x) + 2,-x**4/24 - x**3/6 + x**2/2 + x + 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
x*exp(x) + sin(x) - 2,x**4/6 + x**3/3 + x**2 + 2*x - 2
1 - 3*x,1 - 3*x
x*sin(x) - 4,-x**4/6 + x**2 - 4
3*x,3*x
x + cos(x),x**4/24 - x**2/2 + x + 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
10,10
sin(x) - 1,-x**3/6 + x - 1
sin(x) + 2,-x**3/6 + x + 2
2*x,2*x
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
sin(x) + cos(x) + 3,x**4/24 - x**3/6 - x**2/2 + x + 4
x + 3*sin(x),x*(8 - x**2)/2
3*x + 4,3*x + 4
2*x + cos(x) + 1,x**4/24 - x**2/2 + 2*x + 2
x,x
x + 5*sin(x),x*(36 - 5*x**2)/6
-sin(x) + cos(x) + 8,x**4/24 + x**3/6 - x**2/2 - x + 9
x - exp(x) + 3,-x**4/24 - x**3/6 - x**2/2 + 2
4*x**2,4*x**2
x**2,x**2
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
x**2 - exp(x),-x**4/24 - x**3/6 + x**2/2 - x - 1
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
1 - x,1 - x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
3*x**2,3*x**2
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
x,x
2*x,2*x
-x + 3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 2*x + 3
x*sin(x),-x**4/6 + x**2
x**2 - exp(2*x),-2*x**4/3 - 4*x**3/3 - x**2 - 2*x - 1
sin(x) - 2,-x**3/6 + x - 2
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
20,20
-x + sin(x) - 2,-x**3/6 - 2
4*sin(x) + 2,-2*x**3/3 + 4*x + 2
x - cos(x),-x**4/24 + x**2/2 + x - 1
x + 2,x + 2
5*x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 9*x + 4
x - 5,x - 5
-3*cos(x) - 4,-x**4/8 + 3*x**2/2 - 7
sin(x) + 4,-x**3/6 + x + 4
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
x + exp(x) - sin(2*x)/2,x**4/24 + 5*x**3/6 + x**2/2 + x + 1
2*x - exp(x)*cos(x),x**4/6 + x**3/3 + x - 1
x + cos(x),x**4/24 - x**2/2 + x + 1
-x*cos(x) + exp(x),x**4/24 + 2*x**3/3 + x**2/2 + 1
0,0
x*(cos(x) + 1),x*(4 - x**2)/2
x + 4,x + 4
2*x - 1,2*x - 1
x + cos(x),x**4/24 - x**2/2 + x + 1
x,x
6 - x,6 - x
x*(x + cos(x)),x*(-x**2/2 + x + 1)
-x + 2*sin(x) - cos(x),-x**4/24 - x**3/3 + x**2/2 + x - 1
5,5
cos(x) - 2,x**4/24 - x**2/2 - 1
2*x - 4,2*x - 4
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
2*x**2*cos(x),x**2*(2 - x**2)
2*x + sin(x) + 3,-x**3/6 + 3*x + 3
1 - 4*cos(x),-x**4/6 + 2*x**2 - 3
2*x,2*x
sin(x) - cos(x)**2,-x**4/3 - x**3/6 + x**2 + x - 1
cos(x) - 2,x**4/24 - x**2/2 - 1
x - cos(x) - 3,-x**4/24 + x**2/2 + x - 4
10 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 9
2*x - cos(x) - 4,-x**4/24 + x**2/2 + 2*x - 5
1 - 3*x,1 - 3*x
3 - x,3 - x
sin(x) + 6,-x**3/6 + x + 6
10*x*cos(x),5*x*(2 - x**2)
2 - sin(x),x**3/6 - x + 2
2*x + cos(x) + 4,x**4/24 - x**2/2 + 2*x + 5
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
x*cos(x) + 4,-x**3/2 + x + 4
-x*exp(x) + 1,-x**4/6 - x**3/2 - x**2 - x + 1
3*x*cos(x),3*x*(2 - x**2)/2
-x + sin(x) + 5,5 - x**3/6
x - 2*exp(x) + 3,-x**4/12 - x**3/3 - x**2 - x + 1
exp(x) + sin(x) + 10,x**4/24 + x**2/2 + 2*x + 11
x + 5,x + 5
5,5
-3*x,-3*x
x - exp(x) - cos(x) + 2,x**3*(-x - 2)/12
x*sin(x),-x**4/6 + x**2
x*(x - 1),x*(x - 1)
sin(x) - 10,-x**3/6 + x - 10
2,2
x,x
x + 9,x + 9
cos(x),x**4/24 - x**2/2 + 1
2*x,2*x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2*x,2*x
(x + 1)*cos(x),x**4/24 - x**3/2 - x**2/2 + x + 1
-exp(x)*cos(x),x**4/6 + x**3/3 - x - 1
x - sin(x) + 2,x**3/6 + 2
x - sin(x) - 2,x**3/6 - 2
-x - 5,-x - 5
-x + 2*exp(x) + 4,x**4/12 + x**3/3 + x**2 + x + 6
-x*sin(x) + 5*exp(x),3*x**4/8 + 5*x**3/6 + 3*x**2/2 + 5*x + 5
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
5 - 3*x,5 - 3*x
-x + exp(x) - 1,x**2*(x**2 + 4*x + 12)/24
3 - 2*x,3 - 2*x
x*cos(x),-x**3/2 + x
x - cos(x),-x**4/24 + x**2/2 + x - 1
5*x*exp(x),5*x*(x**3 + 3*x**2 + 6*x + 6)/6
-3*x - 4,-3*x - 4
-14*x,-14*x
x*exp(x)*sin(x) + cos(x),3*x**4/8 + x**3 + x**2/2 + 1
x**2,x**2
x + sin(x),x*(12 - x**2)/6
-x + sin(x),-x**3/6
-x + 4*sin(x) - 2,-2*x**3/3 + 3*x - 2
-x*sin(x) + exp(x) + 5,5*x**4/24 + x**3/6 - x**2/2 + x + 6
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
4*cos(x),x**4/6 - 2*x**2 + 4
2*x - sin(x) + 4,x**3/6 + x + 4
-2*x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 - x + 3
4*cos(x) - 4,x**2*(x**2 - 12)/6
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x + 4,x + 4
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
2*x + sin(x),x*(18 - x**2)/6
-x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 4
3*x - 3,3*x - 3
-cos(x),-x**4/24 + x**2/2 - 1
cos(x),x**4/24 - x**2/2 + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
5 - x**2,5 - x**2
4 - 3*x,4 - 3*x
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
x + 4*cos(x),x**4/6 - 2*x**2 + x + 4
-exp(x) - 2,-x**4/24 - x**3/6 - x**2/2 - x - 3
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
sin(x)**2 + 3,-x**4/3 + x**2 + 3
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
x*(x*exp(x) + 1),x*(x**3/2 + x**2 + x + 1)
x + 1,x + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
2*x,2*x
2 - x,2 - x
x*exp(x) + 4*sin(x),x*(x**3 - x**2 + 6*x + 30)/6
sin(x) + 3*cos(x) + 1,x**4/8 - x**3/6 - 3*x**2/2 + x + 4
x - 3*sin(x),x*(x**2 - 4)/2
3,3
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
3 - x,3 - x
x**2*cos(x),-x**4/2 + x**2
x*cos(x),-x**3/2 + x
x + 2,x + 2
exp(x)*sin(2*x)/2,x*(-x**3/2 - x**2/6 + x + 1)
3*x,3*x
cos(x),x**4/24 - x**2/2 + 1
-x + sin(x),-x**3/6
x*cos(x),-x**3/2 + x
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
4 - x**2,4 - x**2
x,x
x**2*sin(x),x**3
4 - 3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x + 1
3*x,3*x
2*x + 3,2*x + 3
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
-sin(x) - 2,x**3/6 - x - 2
5 - x,5 - x
sin(x) - cos(x) + 2,-x**4/24 - x**3/6 + x**2/2 + x + 1
x - sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 + 1
1,1
x + 5,x + 5
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
cos(x) + 1,x**4/24 - x**2/2 + 2
x + sin(x),x*(12 - x**2)/6
exp(x)*cos(x) - 1,-x**4/6 - x**3/3 + x
x + cos(x) - 2,x**4/24 - x**2/2 + x - 1
x - sin(x) - 1,x**3/6 - 1
-sin(x) - 3*cos(x) + 3,x*(-3*x**3 + 4*x**2 + 36*x - 24)/24
sin(x) + 4*cos(x),x**4/6 - x**3/6 - 2*x**2 + x + 4
sin(2*x)/2,-2*x**3/3 + x
6*x,6*x
0,0
3*exp(x) + 6,x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 9
-4*x + exp(x) - 4,x**4/24 + x**3/6 + x**2/2 - 3*x - 3
3,3
exp(x)*cos(x) - 4,-x**4/6 - x**3/3 + x - 3
-x*cos(x) + x + 5,x**3/2 + 5
2*x,2*x
-exp(x) + cos(x) + 5,-x**3/6 - x**2 - x + 5
-x - sqrt(2)*sin(x + pi/4) + 4,-x**4/24 + x**3/6 + x**2/2 - 2*x + 3
-x - cos(x) + 5,-x**4/24 + x**2/2 - x + 4
x + exp(x) + sin(x) + 2,x**4/24 + x**2/2 + 3*x + 3
x**2,x**2
3*x + sin(x),x*(24 - x**2)/6
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + 4*cos(x) + 4,x**4/6 - 2*x**2 + x + 8
2 - x,2 - x
exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + x - 2
19,19
x**2 + sin(x),x*(-x**2/6 + x + 1)
x**2 + exp(x) + 1,x**4/24 + x**3/6 + 3*x**2/2 + x + 2
x**2 - exp(x) + sin(x),-x**4/24 - x**3/3 + x**2/2 - 1
0,0
-x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 3
3*exp(x) + sin(x),x**4/8 + x**3/3 + 3*x**2/2 + 4*x + 3
(exp(x) + 1)*sin(x),x*(x**2 + 6*x + 12)/6
x*cos(x)**2,-x**3 + x
4*cos(x),x**4/6 - 2*x**2 + 4
5*exp(x) - 2,5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
-5,-5
2*x + sqrt(2)*sin(x + pi/4),x**4/24 - x**3/6 - x**2/2 + 3*x + 1
